
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
750_3_4_(0),750,4,3,5750,6,6,4,4,1173,1
750_3_4_(1),750,4,3,5750,6,6,4,4,1132,1
750_3_4_(2),750,4,3,5750,6,6,4,4,789,1
750_3_4_(3),750,4,3,5750,6,6,4,4,720,1
750_3_4_(4),750,4,3,5750,6,6,4,4,811,1
750_3_4_(5),750,4,3,5750,6,6,4,4,1172,1
750_3_4_(6),750,4,3,5750,6,6,4,4,766,1
750_3_4_(7),750,4,3,5750,6,6,4,4,1181,1
750_3_4_(8),750,4,3,5750,6,6,4,4,1097,1
750_3_4_(9),750,4,3,5750,6,6,4,4,1190,1
