
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(0),1000,5,4,8000,6,6,4,4,1596,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(1),1000,5,4,8000,6,6,4,4,1585,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(2),1000,5,4,8000,6,6,4,4,2533,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(3),1000,5,4,8000,6,6,4,4,1701,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(4),1000,5,4,8000,6,6,4,4,2713,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(5),1000,5,4,8000,6,6,4,4,2684,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(6),1000,5,4,8000,6,6,4,4,1716,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(7),1000,5,4,8000,6,6,4,4,2635,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(8),1000,5,4,8000,6,6,4,4,1647,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_4_(9),1000,5,4,8000,6,6,4,4,1575,1
