
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1500_3_3_(0),1500,4,3,12000,5,5,3,3,3162,1
1500_3_3_(1),1500,4,3,12000,5,5,3,3,2986,1
1500_3_3_(2),1500,4,3,12000,5,5,3,3,2961,1
1500_3_3_(3),1500,4,3,12000,5,5,3,3,2889,1
1500_3_3_(4),1500,4,3,12000,5,5,3,3,3075,1
1500_3_3_(5),1500,4,3,12000,5,5,3,3,3146,1
1500_3_3_(6),1500,4,3,12000,5,5,3,3,3047,1
1500_3_3_(7),1500,4,3,12000,5,5,3,3,3041,1
1500_3_3_(8),1500,4,3,12000,5,5,3,3,3082,1
1500_3_3_(9),1500,4,3,12000,5,5,3,3,3035,1
