
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(0),1000,4,3,8000,7,7,5,5,1988,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(1),1000,4,3,8000,7,7,5,5,1243,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(2),1000,4,3,8000,7,7,5,5,2008,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(3),1000,4,3,8000,7,7,5,5,1968,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(4),1000,4,3,8000,7,7,5,5,1989,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(5),1000,4,3,8000,7,7,5,5,1300,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(6),1000,4,3,8000,7,7,5,5,1303,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(7),1000,4,3,8000,7,7,5,5,1998,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(8),1000,4,3,8000,7,7,5,5,2007,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_5_(9),1000,4,3,8000,7,7,5,5,1965,1
