
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
750_3_6_(0),750,4,3,5750,8,8,6,6,1261,1
750_3_6_(1),750,4,3,5750,8,8,6,6,800,1
750_3_6_(2),750,4,3,5750,8,8,6,6,1313,1
750_3_6_(3),750,4,3,5750,8,8,6,6,1270,1
750_3_6_(4),750,4,3,5750,8,8,6,6,1265,1
750_3_6_(5),750,4,3,5750,8,8,6,6,848,1
750_3_6_(6),750,4,3,5750,8,8,6,6,1316,1
750_3_6_(7),750,4,3,5750,8,8,6,6,910,1
750_3_6_(8),750,4,3,5750,8,8,6,6,883,1
750_3_6_(9),750,4,3,5750,8,8,6,6,1207,1
