
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(0),1000,5,4,8000,7,7,5,5,1614,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(1),1000,5,4,8000,7,7,5,5,2633,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(2),1000,5,4,8000,7,7,5,5,2715,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(3),1000,5,4,8000,7,7,5,5,2618,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(4),1000,5,4,8000,7,7,5,5,1609,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(5),1000,5,4,8000,7,7,5,5,1659,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(6),1000,5,4,8000,7,7,5,5,1627,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(7),1000,5,4,8000,7,7,5,5,1670,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(8),1000,5,4,8000,7,7,5,5,1705,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_5_(9),1000,5,4,8000,7,7,5,5,1625,1
