
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(0),1250,5,4,10500,5,5,3,3,2232,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(1),1250,5,4,10500,5,5,3,3,2177,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(2),1250,5,4,10500,5,5,3,3,2111,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(3),1250,5,4,10500,5,5,3,3,2256,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(4),1250,5,4,10500,5,5,3,3,2132,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(5),1250,5,4,10500,5,5,3,3,3920,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(6),1250,5,4,10500,5,5,3,3,2161,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(7),1250,5,4,10500,5,5,3,3,2117,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(8),1250,5,4,10500,5,5,3,3,2164,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_3_(9),1250,5,4,10500,5,5,3,3,2159,1
