
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1500_4_3_(0),1500,5,4,12000,5,5,3,3,4620,1
1500_4_3_(1),1500,5,4,12000,5,5,3,3,2557,1
1500_4_3_(2),1500,5,4,12000,5,5,3,3,4691,1
1500_4_3_(3),1500,5,4,12000,5,5,3,3,4817,1
1500_4_3_(4),1500,5,4,12000,5,5,3,3,4582,1
1500_4_3_(5),1500,5,4,12000,5,5,3,3,2492,1
1500_4_3_(6),1500,5,4,12000,5,5,3,3,2487,1
1500_4_3_(7),1500,5,4,12000,5,5,3,3,2525,1
1500_4_3_(8),1500,5,4,12000,5,5,3,3,2562,1
1500_4_3_(9),1500,5,4,12000,5,5,3,3,2493,1
