
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
750_4_5_(0),750,5,4,5750,7,7,5,5,1710,1
750_4_5_(1),750,5,4,5750,7,7,5,5,1078,1
750_4_5_(2),750,5,4,5750,7,7,5,5,1085,1
750_4_5_(3),750,5,4,5750,7,7,5,5,1114,1
750_4_5_(4),750,5,4,5750,7,7,5,5,1189,1
750_4_5_(5),750,5,4,5750,7,7,5,5,1095,1
750_4_5_(6),750,5,4,5750,7,7,5,5,1137,1
750_4_5_(7),750,5,4,5750,7,7,5,5,1186,1
750_4_5_(8),750,5,4,5750,7,7,5,5,1187,1
750_4_5_(9),750,5,4,5750,7,7,5,5,1162,1
