
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(0),1000,4,3,8000,8,8,6,6,1972,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(1),1000,4,3,8000,8,8,6,6,2008,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(2),1000,4,3,8000,8,8,6,6,1946,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(3),1000,4,3,8000,8,8,6,6,1292,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(4),1000,4,3,8000,8,8,6,6,1996,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(5),1000,4,3,8000,8,8,6,6,1915,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(6),1000,4,3,8000,8,8,6,6,2050,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(7),1000,4,3,8000,8,8,6,6,2037,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(8),1000,4,3,8000,8,8,6,6,2040,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_6_(9),1000,4,3,8000,8,8,6,6,2059,1
