
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(0),1000,4,3,8000,9,9,7,7,1974,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(1),1000,4,3,8000,9,9,7,7,1969,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(2),1000,4,3,8000,9,9,7,7,1928,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(3),1000,4,3,8000,9,9,7,7,1931,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(4),1000,4,3,8000,9,9,7,7,1229,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(5),1000,4,3,8000,9,9,7,7,1943,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(6),1000,4,3,8000,9,9,7,7,1992,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(7),1000,4,3,8000,9,9,7,7,2087,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(8),1000,4,3,8000,9,9,7,7,1977,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_7_(9),1000,4,3,8000,9,9,7,7,1996,1
