
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(0),1250,5,4,10500,7,7,5,5,3852,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(1),1250,5,4,10500,7,7,5,5,3922,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(2),1250,5,4,10500,7,7,5,5,3712,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(3),1250,5,4,10500,7,7,5,5,2235,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(4),1250,5,4,10500,7,7,5,5,3900,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(5),1250,5,4,10500,7,7,5,5,3825,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(6),1250,5,4,10500,7,7,5,5,3878,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(7),1250,5,4,10500,7,7,5,5,4012,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(8),1250,5,4,10500,7,7,5,5,3925,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè4_5_(9),1250,5,4,10500,7,7,5,5,3773,1
