
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
250_3_5_(0),250,4,3,1750,7,7,5,5,245,1
250_3_5_(1),250,4,3,1750,7,7,5,5,226,1
250_3_5_(2),250,4,3,1750,7,7,5,5,239,1
250_3_5_(3),250,4,3,1750,7,7,5,5,225,1
250_3_5_(4),250,4,3,1750,7,7,5,5,235,1
250_3_5_(5),250,4,3,1750,7,7,5,5,230,1
250_3_5_(6),250,4,3,1750,7,7,5,5,243,1
250_3_5_(7),250,4,3,1750,7,7,5,5,239,1
250_3_5_(8),250,4,3,1750,7,7,5,5,220,1
250_3_5_(9),250,4,3,1750,7,7,5,5,213,1
