
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1500_3_4_(0),1500,4,3,12000,6,6,4,4,1825,1
1500_3_4_(1),1500,4,3,12000,6,6,4,4,3066,1
1500_3_4_(2),1500,4,3,12000,6,6,4,4,3020,1
1500_3_4_(3),1500,4,3,12000,6,6,4,4,3041,1
1500_3_4_(4),1500,4,3,12000,6,6,4,4,3106,1
1500_3_4_(5),1500,4,3,12000,6,6,4,4,3196,1
1500_3_4_(6),1500,4,3,12000,6,6,4,4,3154,1
1500_3_4_(7),1500,4,3,12000,6,6,4,4,3139,1
1500_3_4_(8),1500,4,3,12000,6,6,4,4,3107,1
1500_3_4_(9),1500,4,3,12000,6,6,4,4,3207,1
