
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1500_3_7_(0),1500,4,3,12000,9,9,7,7,3119,1
1500_3_7_(1),1500,4,3,12000,9,9,7,7,3085,1
1500_3_7_(2),1500,4,3,12000,9,9,7,7,3111,1
1500_3_7_(3),1500,4,3,12000,9,9,7,7,3184,1
1500_3_7_(4),1500,4,3,12000,9,9,7,7,3147,1
1500_3_7_(5),1500,4,3,12000,9,9,7,7,3104,1
1500_3_7_(6),1500,4,3,12000,9,9,7,7,3163,1
1500_3_7_(7),1500,4,3,12000,9,9,7,7,3157,1
1500_3_7_(8),1500,4,3,12000,9,9,7,7,3206,1
1500_3_7_(9),1500,4,3,12000,9,9,7,7,3001,1
