
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
500_))3_5_(0),500,4,3,4000,7,7,5,5,574,1
500_))3_5_(1),500,4,3,4000,7,7,5,5,843,1
500_))3_5_(2),500,4,3,4000,7,7,5,5,615,1
500_))3_5_(3),500,4,3,4000,7,7,5,5,608,1
500_))3_5_(4),500,4,3,4000,7,7,5,5,535,1
500_))3_5_(5),500,4,3,4000,7,7,5,5,883,1
500_))3_5_(6),500,4,3,4000,7,7,5,5,790,1
500_))3_5_(7),500,4,3,4000,7,7,5,5,586,1
500_))3_5_(8),500,4,3,4000,7,7,5,5,594,1
500_))3_5_(9),500,4,3,4000,7,7,5,5,537,1
