
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
250_4_3_(0),250,5,4,1750,5,5,3,3,298,1
250_4_3_(1),250,5,4,1750,5,5,3,3,296,1
250_4_3_(2),250,5,4,1750,5,5,3,3,316,1
250_4_3_(3),250,5,4,1750,5,5,3,3,280,1
250_4_3_(4),250,5,4,1750,5,5,3,3,294,1
250_4_3_(5),250,5,4,1750,5,5,3,3,274,1
250_4_3_(6),250,5,4,1750,5,5,3,3,276,1
250_4_3_(7),250,5,4,1750,5,5,3,3,314,1
250_4_3_(8),250,5,4,1750,5,5,3,3,282,1
250_4_3_(9),250,5,4,1750,5,5,3,3,281,1
