
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
500_))4_4_(0),500,5,4,4000,6,6,4,4,852,1
500_))4_4_(1),500,5,4,4000,6,6,4,4,805,1
500_))4_4_(2),500,5,4,4000,6,6,4,4,834,1
500_))4_4_(3),500,5,4,4000,6,6,4,4,788,1
500_))4_4_(4),500,5,4,4000,6,6,4,4,797,1
500_))4_4_(5),500,5,4,4000,6,6,4,4,788,1
500_))4_4_(6),500,5,4,4000,6,6,4,4,852,1
500_))4_4_(7),500,5,4,4000,6,6,4,4,740,1
500_))4_4_(8),500,5,4,4000,6,6,4,4,793,1
500_))4_4_(9),500,5,4,4000,6,6,4,4,758,1
