
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
500_))3_7_(0),500,4,3,4000,9,9,7,7,518,1
500_))3_7_(1),500,4,3,4000,9,9,7,7,578,1
500_))3_7_(2),500,4,3,4000,9,9,7,7,571,1
500_))3_7_(3),500,4,3,4000,9,9,7,7,837,1
500_))3_7_(4),500,4,3,4000,9,9,7,7,761,1
500_))3_7_(5),500,4,3,4000,9,9,7,7,523,1
500_))3_7_(6),500,4,3,4000,9,9,7,7,849,1
500_))3_7_(7),500,4,3,4000,9,9,7,7,521,1
500_))3_7_(8),500,4,3,4000,9,9,7,7,543,1
500_))3_7_(9),500,4,3,4000,9,9,7,7,564,1
