
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
750_4_3_(0),750,5,4,5750,5,5,3,3,1127,1
750_4_3_(1),750,5,4,5750,5,5,3,3,1132,1
750_4_3_(2),750,5,4,5750,5,5,3,3,1099,1
750_4_3_(3),750,5,4,5750,5,5,3,3,1180,1
750_4_3_(4),750,5,4,5750,5,5,3,3,1158,1
750_4_3_(5),750,5,4,5750,5,5,3,3,1083,1
750_4_3_(6),750,5,4,5750,5,5,3,3,1134,1
750_4_3_(7),750,5,4,5750,5,5,3,3,1098,1
750_4_3_(8),750,5,4,5750,5,5,3,3,1097,1
750_4_3_(9),750,5,4,5750,5,5,3,3,1107,1
