
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(0),1000,5,4,8000,5,5,3,3,1688,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(1),1000,5,4,8000,5,5,3,3,1658,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(2),1000,5,4,8000,5,5,3,3,1639,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(3),1000,5,4,8000,5,5,3,3,1657,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(4),1000,5,4,8000,5,5,3,3,1633,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(5),1000,5,4,8000,5,5,3,3,1729,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(6),1000,5,4,8000,5,5,3,3,1705,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(7),1000,5,4,8000,5,5,3,3,1717,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(8),1000,5,4,8000,5,5,3,3,1647,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.4_3_(9),1000,5,4,8000,5,5,3,3,1686,1
