
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
3250_10_13_(0),3250,11,10,21000,14,14,13,13,17011,1
3250_10_13_(1),3250,11,10,21000,14,14,13,13,52021,1
3250_10_13_(2),3250,11,10,21000,14,14,13,13,51372,1
3250_10_13_(3),3250,11,10,21000,14,14,13,13,17111,1
3250_10_13_(4),3250,11,10,21000,14,14,13,13,17621,1
3250_10_13_(5),3250,11,10,21000,14,14,13,13,48045,1
3250_10_13_(6),3250,11,10,21000,14,14,13,13,17381,1
3250_10_13_(7),3250,11,10,21000,14,14,13,13,18148,1
3250_10_13_(8),3250,11,10,21000,14,14,13,13,18064,1
3250_10_13_(9),3250,11,10,21000,14,14,13,13,17943,1
