
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(0),1250,4,3,10500,5,5,3,3,2577,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(1),1250,4,3,10500,5,5,3,3,2605,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(2),1250,4,3,10500,5,5,3,3,2569,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(3),1250,4,3,10500,5,5,3,3,2593,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(4),1250,4,3,10500,5,5,3,3,2692,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(5),1250,4,3,10500,5,5,3,3,2690,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(6),1250,4,3,10500,5,5,3,3,1584,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(7),1250,4,3,10500,5,5,3,3,1645,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(8),1250,4,3,10500,5,5,3,3,1540,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_3_(9),1250,4,3,10500,5,5,3,3,2648,1
