
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
750_3_7_(0),750,4,3,5750,9,9,7,7,898,1
750_3_7_(1),750,4,3,5750,9,9,7,7,1329,1
750_3_7_(2),750,4,3,5750,9,9,7,7,1378,1
750_3_7_(3),750,4,3,5750,9,9,7,7,861,1
750_3_7_(4),750,4,3,5750,9,9,7,7,1273,1
750_3_7_(5),750,4,3,5750,9,9,7,7,873,1
750_3_7_(6),750,4,3,5750,9,9,7,7,1247,1
750_3_7_(7),750,4,3,5750,9,9,7,7,1301,1
750_3_7_(8),750,4,3,5750,9,9,7,7,859,1
750_3_7_(9),750,4,3,5750,9,9,7,7,1242,1
