
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1500_3_6_(0),1500,4,3,12000,8,8,6,6,3177,1
1500_3_6_(1),1500,4,3,12000,8,8,6,6,3068,1
1500_3_6_(2),1500,4,3,12000,8,8,6,6,3144,1
1500_3_6_(3),1500,4,3,12000,8,8,6,6,3300,1
1500_3_6_(4),1500,4,3,12000,8,8,6,6,1857,1
1500_3_6_(5),1500,4,3,12000,8,8,6,6,3134,1
1500_3_6_(6),1500,4,3,12000,8,8,6,6,2907,1
1500_3_6_(7),1500,4,3,12000,8,8,6,6,3126,1
1500_3_6_(8),1500,4,3,12000,8,8,6,6,3160,1
1500_3_6_(9),1500,4,3,12000,8,8,6,6,3176,1
