
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
250_3_4_(0),250,4,3,1750,6,6,4,4,201,1
250_3_4_(1),250,4,3,1750,6,6,4,4,220,1
250_3_4_(2),250,4,3,1750,6,6,4,4,207,1
250_3_4_(3),250,4,3,1750,6,6,4,4,207,1
250_3_4_(4),250,4,3,1750,6,6,4,4,205,1
250_3_4_(5),250,4,3,1750,6,6,4,4,218,1
250_3_4_(6),250,4,3,1750,6,6,4,4,213,1
250_3_4_(7),250,4,3,1750,6,6,4,4,228,1
250_3_4_(8),250,4,3,1750,6,6,4,4,226,1
250_3_4_(9),250,4,3,1750,6,6,4,4,209,1
