
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1500_3_5_(0),1500,4,3,12000,7,7,5,5,3053,1
1500_3_5_(1),1500,4,3,12000,7,7,5,5,2998,1
1500_3_5_(2),1500,4,3,12000,7,7,5,5,3153,1
1500_3_5_(3),1500,4,3,12000,7,7,5,5,3080,1
1500_3_5_(4),1500,4,3,12000,7,7,5,5,1888,1
1500_3_5_(5),1500,4,3,12000,7,7,5,5,3202,1
1500_3_5_(6),1500,4,3,12000,7,7,5,5,3270,1
1500_3_5_(7),1500,4,3,12000,7,7,5,5,3258,1
1500_3_5_(8),1500,4,3,12000,7,7,5,5,3195,1
1500_3_5_(9),1500,4,3,12000,7,7,5,5,3103,1
