
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
250_4_5_(0),250,5,4,1750,7,7,5,5,310,1
250_4_5_(1),250,5,4,1750,7,7,5,5,304,1
250_4_5_(2),250,5,4,1750,7,7,5,5,302,1
250_4_5_(3),250,5,4,1750,7,7,5,5,292,1
250_4_5_(4),250,5,4,1750,7,7,5,5,299,1
250_4_5_(5),250,5,4,1750,7,7,5,5,302,1
250_4_5_(6),250,5,4,1750,7,7,5,5,351,1
250_4_5_(7),250,5,4,1750,7,7,5,5,310,1
250_4_5_(8),250,5,4,1750,7,7,5,5,289,1
250_4_5_(9),250,5,4,1750,7,7,5,5,300,1
