
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
250_4_4_(0),250,5,4,1750,6,6,4,4,317,1
250_4_4_(1),250,5,4,1750,6,6,4,4,314,1
250_4_4_(2),250,5,4,1750,6,6,4,4,303,1
250_4_4_(3),250,5,4,1750,6,6,4,4,290,1
250_4_4_(4),250,5,4,1750,6,6,4,4,283,1
250_4_4_(5),250,5,4,1750,6,6,4,4,295,1
250_4_4_(6),250,5,4,1750,6,6,4,4,301,1
250_4_4_(7),250,5,4,1750,6,6,4,4,298,1
250_4_4_(8),250,5,4,1750,6,6,4,4,292,1
250_4_4_(9),250,5,4,1750,6,6,4,4,276,1
