
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
500_))3_3_(0),500,4,3,4000,5,5,3,3,533,1
500_))3_3_(1),500,4,3,4000,5,5,3,3,497,1
500_))3_3_(2),500,4,3,4000,5,5,3,3,544,1
500_))3_3_(3),500,4,3,4000,5,5,3,3,758,1
500_))3_3_(4),500,4,3,4000,5,5,3,3,545,1
500_))3_3_(5),500,4,3,4000,5,5,3,3,531,1
500_))3_3_(6),500,4,3,4000,5,5,3,3,737,1
500_))3_3_(7),500,4,3,4000,5,5,3,3,519,1
500_))3_3_(8),500,4,3,4000,5,5,3,3,594,1
500_))3_3_(9),500,4,3,4000,5,5,3,3,532,1
