
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
250_3_3_(0),250,4,3,1750,5,5,3,3,230,1
250_3_3_(1),250,4,3,1750,5,5,3,3,214,1
250_3_3_(2),250,4,3,1750,5,5,3,3,214,1
250_3_3_(3),250,4,3,1750,5,5,3,3,201,1
250_3_3_(4),250,4,3,1750,5,5,3,3,223,1
250_3_3_(5),250,4,3,1750,5,5,3,3,207,1
250_3_3_(6),250,4,3,1750,5,5,3,3,226,1
250_3_3_(7),250,4,3,1750,5,5,3,3,222,1
250_3_3_(8),250,4,3,1750,5,5,3,3,213,1
250_3_3_(9),250,4,3,1750,5,5,3,3,209,1
