
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
750_3_5_(0),750,4,3,5750,7,7,5,5,1293,1
750_3_5_(1),750,4,3,5750,7,7,5,5,1238,1
750_3_5_(2),750,4,3,5750,7,7,5,5,827,1
750_3_5_(3),750,4,3,5750,7,7,5,5,1250,1
750_3_5_(4),750,4,3,5750,7,7,5,5,866,1
750_3_5_(5),750,4,3,5750,7,7,5,5,768,1
750_3_5_(6),750,4,3,5750,7,7,5,5,1284,1
750_3_5_(7),750,4,3,5750,7,7,5,5,786,1
750_3_5_(8),750,4,3,5750,7,7,5,5,1305,1
750_3_5_(9),750,4,3,5750,7,7,5,5,816,1
