
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
750_4_4_(0),750,5,4,5750,6,6,4,4,1634,1
750_4_4_(1),750,5,4,5750,6,6,4,4,1812,1
750_4_4_(2),750,5,4,5750,6,6,4,4,1152,1
750_4_4_(3),750,5,4,5750,6,6,4,4,1124,1
750_4_4_(4),750,5,4,5750,6,6,4,4,1078,1
750_4_4_(5),750,5,4,5750,6,6,4,4,1102,1
750_4_4_(6),750,5,4,5750,6,6,4,4,1021,1
750_4_4_(7),750,5,4,5750,6,6,4,4,1137,1
750_4_4_(8),750,5,4,5750,6,6,4,4,1185,1
750_4_4_(9),750,5,4,5750,6,6,4,4,1087,1
