
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
250_3_7_(0),250,4,3,1750,9,9,7,7,263,1
250_3_7_(1),250,4,3,1750,9,9,7,7,219,1
250_3_7_(2),250,4,3,1750,9,9,7,7,230,1
250_3_7_(3),250,4,3,1750,9,9,7,7,249,1
250_3_7_(4),250,4,3,1750,9,9,7,7,272,1
250_3_7_(5),250,4,3,1750,9,9,7,7,232,1
250_3_7_(6),250,4,3,1750,9,9,7,7,222,1
250_3_7_(7),250,4,3,1750,9,9,7,7,250,1
250_3_7_(8),250,4,3,1750,9,9,7,7,236,1
250_3_7_(9),250,4,3,1750,9,9,7,7,261,1
