
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(0),1250,4,3,10500,8,8,6,6,1681,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(1),1250,4,3,10500,8,8,6,6,2808,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(2),1250,4,3,10500,8,8,6,6,2839,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(3),1250,4,3,10500,8,8,6,6,2717,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(4),1250,4,3,10500,8,8,6,6,2708,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(5),1250,4,3,10500,8,8,6,6,2754,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(6),1250,4,3,10500,8,8,6,6,2774,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(7),1250,4,3,10500,8,8,6,6,2702,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(8),1250,4,3,10500,8,8,6,6,1673,1
1250_²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þ²ü‰þè3_6_(9),1250,4,3,10500,8,8,6,6,2743,1
