
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
500_))4_3_(0),500,5,4,4000,5,5,3,3,703,1
500_))4_3_(1),500,5,4,4000,5,5,3,3,747,1
500_))4_3_(2),500,5,4,4000,5,5,3,3,877,1
500_))4_3_(3),500,5,4,4000,5,5,3,3,814,1
500_))4_3_(4),500,5,4,4000,5,5,3,3,813,1
500_))4_3_(5),500,5,4,4000,5,5,3,3,783,1
500_))4_3_(6),500,5,4,4000,5,5,3,3,836,1
500_))4_3_(7),500,5,4,4000,5,5,3,3,783,1
500_))4_3_(8),500,5,4,4000,5,5,3,3,806,1
500_))4_3_(9),500,5,4,4000,5,5,3,3,775,1
