
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
500_))4_5_(0),500,5,4,4000,7,7,5,5,803,1
500_))4_5_(1),500,5,4,4000,7,7,5,5,760,1
500_))4_5_(2),500,5,4,4000,7,7,5,5,845,1
500_))4_5_(3),500,5,4,4000,7,7,5,5,845,1
500_))4_5_(4),500,5,4,4000,7,7,5,5,737,1
500_))4_5_(5),500,5,4,4000,7,7,5,5,837,1
500_))4_5_(6),500,5,4,4000,7,7,5,5,807,1
500_))4_5_(7),500,5,4,4000,7,7,5,5,783,1
500_))4_5_(8),500,5,4,4000,7,7,5,5,761,1
500_))4_5_(9),500,5,4,4000,7,7,5,5,785,1
