
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(0),1000,4,3,8000,6,6,4,4,1850,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(1),1000,4,3,8000,6,6,4,4,1822,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(2),1000,4,3,8000,6,6,4,4,1911,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(3),1000,4,3,8000,6,6,4,4,1944,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(4),1000,4,3,8000,6,6,4,4,1807,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(5),1000,4,3,8000,6,6,4,4,1833,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(6),1000,4,3,8000,6,6,4,4,1935,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(7),1000,4,3,8000,6,6,4,4,1968,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(8),1000,4,3,8000,6,6,4,4,1979,1
1000_tion or disclosure restricted by GSA ADP Schedule Contract with IBM Corp.3_4_(9),1000,4,3,8000,6,6,4,4,1835,1
