
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
750_3_3_(0),750,4,3,5750,5,5,3,3,1174,1
750_3_3_(1),750,4,3,5750,5,5,3,3,1263,1
750_3_3_(2),750,4,3,5750,5,5,3,3,1228,1
750_3_3_(3),750,4,3,5750,5,5,3,3,732,1
750_3_3_(4),750,4,3,5750,5,5,3,3,769,1
750_3_3_(5),750,4,3,5750,5,5,3,3,1162,1
750_3_3_(6),750,4,3,5750,5,5,3,3,729,1
750_3_3_(7),750,4,3,5750,5,5,3,3,1206,1
750_3_3_(8),750,4,3,5750,5,5,3,3,792,1
750_3_3_(9),750,4,3,5750,5,5,3,3,737,1
