
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
1500_4_5_(0),1500,5,4,12000,7,7,5,5,4609,1
1500_4_5_(1),1500,5,4,12000,7,7,5,5,4692,1
1500_4_5_(2),1500,5,4,12000,7,7,5,5,4827,1
1500_4_5_(3),1500,5,4,12000,7,7,5,5,4671,1
1500_4_5_(4),1500,5,4,12000,7,7,5,5,4761,1
1500_4_5_(5),1500,5,4,12000,7,7,5,5,4750,1
1500_4_5_(6),1500,5,4,12000,7,7,5,5,4636,1
1500_4_5_(7),1500,5,4,12000,7,7,5,5,2537,1
1500_4_5_(8),1500,5,4,12000,7,7,5,5,2496,1
1500_4_5_(9),1500,5,4,12000,7,7,5,5,4529,1
