
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
500_))3_6_(0),500,4,3,4000,8,8,6,6,622,1
500_))3_6_(1),500,4,3,4000,8,8,6,6,574,1
500_))3_6_(2),500,4,3,4000,8,8,6,6,586,1
500_))3_6_(3),500,4,3,4000,8,8,6,6,592,1
500_))3_6_(4),500,4,3,4000,8,8,6,6,586,1
500_))3_6_(5),500,4,3,4000,8,8,6,6,568,1
500_))3_6_(6),500,4,3,4000,8,8,6,6,566,1
500_))3_6_(7),500,4,3,4000,8,8,6,6,549,1
500_))3_6_(8),500,4,3,4000,8,8,6,6,575,1
500_))3_6_(9),500,4,3,4000,8,8,6,6,564,1
