
01) graph,02) vertices,03) clusters,04) terminals,05) edges,06) hubSize,07) hubEdges,08) budget,09) solutionCost,10) duration,11) leaves
250_3_6_(0),250,4,3,1750,8,8,6,6,227,1
250_3_6_(1),250,4,3,1750,8,8,6,6,207,1
250_3_6_(2),250,4,3,1750,8,8,6,6,227,1
250_3_6_(3),250,4,3,1750,8,8,6,6,300,1
250_3_6_(4),250,4,3,1750,8,8,6,6,214,1
250_3_6_(5),250,4,3,1750,8,8,6,6,294,1
250_3_6_(6),250,4,3,1750,8,8,6,6,222,1
250_3_6_(7),250,4,3,1750,8,8,6,6,246,1
250_3_6_(8),250,4,3,1750,8,8,6,6,240,1
250_3_6_(9),250,4,3,1750,8,8,6,6,238,1
