Metrics for Vertices: 250, Edges:1750, Clusters:4, Terminals: 3, HubSize: 9, HubEdges: 9, Budget: 7
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
7,4,243,1750,250_3_7_(0),9,9,1,7,3,250
7,4,251,1750,250_3_7_(1),9,9,1,7,3,250
7,4,211,1750,250_3_7_(2),9,9,1,7,3,250
7,4,243,1750,250_3_7_(3),9,9,1,7,3,250
7,4,241,1750,250_3_7_(4),9,9,1,7,3,250
7,4,245,1750,250_3_7_(5),9,9,1,7,3,250
7,4,253,1750,250_3_7_(6),9,9,1,7,3,250
7,4,238,1750,250_3_7_(7),9,9,1,7,3,250
7,4,227,1750,250_3_7_(8),9,9,1,7,3,250
7,4,273,1750,250_3_7_(9),9,9,1,7,3,250
