Metrics for Vertices: 250, Edges:1750, Clusters:4, Terminals: 3, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,4,218,1750,250_3_3_(0),5,5,1,3,3,250
3,4,234,1750,250_3_3_(1),5,5,1,3,3,250
3,4,237,1750,250_3_3_(2),5,5,1,3,3,250
3,4,223,1750,250_3_3_(3),5,5,1,3,3,250
3,4,211,1750,250_3_3_(4),5,5,1,3,3,250
3,4,222,1750,250_3_3_(5),5,5,1,3,3,250
3,4,234,1750,250_3_3_(6),5,5,1,3,3,250
3,4,225,1750,250_3_3_(7),5,5,1,3,3,250
3,4,210,1750,250_3_3_(8),5,5,1,3,3,250
3,4,200,1750,250_3_3_(9),5,5,1,3,3,250
