Metrics for Vertices: 2000, Edges:15000, Clusters:7, Terminals: 6, HubSize: 10, HubEdges: 10, Budget: 9
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
9,7,11787,15000,2000_6_9_(0),10,10,1,9,6,2000
9,7,12874,15000,2000_6_9_(1),10,10,1,9,6,2000
9,7,12725,15000,2000_6_9_(2),10,10,1,9,6,2000
9,7,13409,15000,2000_6_9_(3),10,10,1,9,6,2000
9,7,12455,15000,2000_6_9_(4),10,10,1,9,6,2000
9,7,5602,15000,2000_6_9_(5),10,10,1,9,6,2000
9,7,12834,15000,2000_6_9_(6),10,10,1,9,6,2000
9,7,12720,15000,2000_6_9_(7),10,10,1,9,6,2000
9,7,12567,15000,2000_6_9_(8),10,10,1,9,6,2000
9,7,14202,15000,2000_6_9_(9),10,10,1,9,6,2000
