Metrics for Vertices: 250, Edges:1750, Clusters:5, Terminals: 4, HubSize: 5, HubEdges: 5, Budget: 3
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
3,5,304,1750,250_4_3_(0),5,5,1,3,4,250
3,5,292,1750,250_4_3_(1),5,5,1,3,4,250
3,5,271,1750,250_4_3_(2),5,5,1,3,4,250
3,5,300,1750,250_4_3_(3),5,5,1,3,4,250
3,5,274,1750,250_4_3_(4),5,5,1,3,4,250
3,5,270,1750,250_4_3_(5),5,5,1,3,4,250
3,5,276,1750,250_4_3_(6),5,5,1,3,4,250
3,5,271,1750,250_4_3_(7),5,5,1,3,4,250
3,5,280,1750,250_4_3_(8),5,5,1,3,4,250
3,5,294,1750,250_4_3_(9),5,5,1,3,4,250
