Metrics for Vertices: 250, Edges:1750, Clusters:5, Terminals: 4, HubSize: 7, HubEdges: 7, Budget: 5
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
5,5,300,1750,250_4_5_(0),7,7,1,5,4,250
5,5,289,1750,250_4_5_(1),7,7,1,5,4,250
5,5,290,1750,250_4_5_(2),7,7,1,5,4,250
5,5,291,1750,250_4_5_(3),7,7,1,5,4,250
5,5,324,1750,250_4_5_(4),7,7,1,5,4,250
5,5,258,1750,250_4_5_(5),7,7,1,5,4,250
5,5,295,1750,250_4_5_(6),7,7,1,5,4,250
5,5,279,1750,250_4_5_(7),7,7,1,5,4,250
5,5,291,1750,250_4_5_(8),7,7,1,5,4,250
5,5,329,1750,250_4_5_(9),7,7,1,5,4,250
