Metrics for Vertices: 250, Edges:1750, Clusters:4, Terminals: 3, HubSize: 7, HubEdges: 7, Budget: 5
budget,clusters,duration,edges,graph,hubEdges,hubSize,leaves,solutionCost,terminals,vertices
5,4,230,1750,250_3_5_(0),7,7,1,5,3,250
5,4,202,1750,250_3_5_(1),7,7,1,5,3,250
5,4,226,1750,250_3_5_(2),7,7,1,5,3,250
5,4,209,1750,250_3_5_(3),7,7,1,5,3,250
5,4,230,1750,250_3_5_(4),7,7,1,5,3,250
5,4,228,1750,250_3_5_(5),7,7,1,5,3,250
5,4,209,1750,250_3_5_(6),7,7,1,5,3,250
5,4,240,1750,250_3_5_(7),7,7,1,5,3,250
5,4,213,1750,250_3_5_(8),7,7,1,5,3,250
5,4,205,1750,250_3_5_(9),7,7,1,5,3,250
